superficie,fecha,lat,lng,idprovincia,idmunicipio,causa,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,ALTITUD,TMEDIA,PRECIPITACION,TMIN,TMAX,VELMEDIA,RACHA,SOL,Trimestre,Mes,Año,DIR_VIENTO,PRES_RANGE
5.0,20010220,43.703581,-8.038777,A Coruña,CEDEIRA,1,0,0,3.55,3.55,14,2,-1,1,11.3,0,7.0,15.6,2-4 m/s,16.9,10.2,Q1,febrero,2001,E,4.40000000000009
1.5,20010225,43.186836,-8.68547,A Coruña,CARBALLO,2,0,0,2.05,2.05,5,0,-1,1,9.0,0,6.5,11.6,4-6 m/s,11.1,10.2,Q1,febrero,2001,NE,4.69999999999993
1.5,20010413,43.699889,-7.984566,A Coruña,CEDEIRA,1,0,0,1.5,1.5,9,1,-1,1,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
1.1,20010413,42.758649,-8.917814,A Coruña,LOUSAME,4,0,0,3.1,3.1,18,2,-1,1,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
1.5,20010413,43.063218,-9.235604,A Coruña,MUXÃÂA,2,0,0,1.35,1.35,14,1,-1,1,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
1.3,20010414,42.851086,-8.866091,A Coruña,OUTES,2,0,0,2.55,2.55,19,2,-1,1,14.2,0,10.4,18.0,4-6 m/s,12.8,11.8,Q2,abril,2001,E,2.60000000000002
1.5,20010415,43.240732,-8.670253,A Coruña,CARBALLO,2,0,0,2.25,2.25,6,2,-1,1,12.7,0,8.8,16.6,< 2 m/s,9.2,11.8,Q2,abril,2001,SE,3.39999999999998
1.05,20010416,43.645998,-8.044866,A Coruña,CEDEIRA,2,0,0,3.1,3.1,11,0,-1,1,12.9,0,9.4,16.4,4-6 m/s,11.9,6.4,Q2,abril,2001,NE,2.80000000000007
2.5,20010416,43.371826,-8.025395,A Coruña,MONFERO,2,0,0,2.12,2.12,6,1,-1,1,12.9,0,9.4,16.4,4-6 m/s,11.9,6.4,Q2,abril,2001,NE,2.80000000000007
1.4,20010417,43.5844,-8.035015,A Coruña,SAN SADURNIÃâO,2,0,0,2.25,2.25,6,1,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
1.7,20010417,43.291593,-8.495562,A Coruña,ARTEIXO,4,0,0,3.2,3.2,9,1,-1,1,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
