Unnamed: 0,id,superficie,fecha,lat,lng,idprovincia,idmunicipio,causa,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,ALTITUD,TMEDIA,PRECIPITACION,TMIN,TMAX,VELMEDIA,RACHA,SOL,Trimestre,Mes,Año,DIR_VIENTO,PRES_RANGE
1,2001150021,5.0,2001-02-20,43.703581,-8.038777,A Coruña,CEDEIRA,negligencia,0,0,3.55,3.55,14,2,NO INFO,Inferior a 80,11.3,0,7.0,15.6,2-4 m/s,16.9,10.2,Q1,febrero,2001,E,4.40000000000009
3,2001150094,1.5,2001-02-25,43.186836,-8.68547,A Coruña,CARBALLO,intencionado,0,0,2.05,2.05,5,0,NO INFO,Inferior a 80,9.0,0,6.5,11.6,4-6 m/s,11.1,10.2,Q1,febrero,2001,NE,4.69999999999993
5,2001150145,1.5,2001-04-13,43.699889,-7.984566,A Coruña,CEDEIRA,negligencia,0,0,1.5,1.5,9,1,NO INFO,Inferior a 80,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
6,2001150151,1.1,2001-04-13,42.758649,-8.917814,A Coruña,LOUSAME,causa desconocida,0,0,3.1,3.1,18,2,NO INFO,Inferior a 80,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
7,2001150153,1.5,2001-04-13,43.063218,-9.235604,A Coruña,MUXÃÂA,intencionado,0,0,1.35,1.35,14,1,NO INFO,Inferior a 80,13.9,0,10.4,17.4,4-6 m/s,13.9,12.1,Q2,abril,2001,NE,3.20000000000005
8,2001150165,1.3,2001-04-14,42.851086,-8.866091,A Coruña,OUTES,intencionado,0,0,2.55,2.55,19,2,NO INFO,Inferior a 80,14.2,0,10.4,18.0,4-6 m/s,12.8,11.8,Q2,abril,2001,E,2.60000000000002
9,2001150181,1.5,2001-04-15,43.240732,-8.670253,A Coruña,CARBALLO,intencionado,0,0,2.25,2.25,6,2,NO INFO,Inferior a 80,12.7,0,8.8,16.6,< 2 m/s,9.2,11.8,Q2,abril,2001,SE,3.39999999999998
11,2001150194,1.05,2001-04-16,43.645998,-8.044866,A Coruña,CEDEIRA,intencionado,0,0,3.1,3.1,11,0,NO INFO,Inferior a 80,12.9,0,9.4,16.4,4-6 m/s,11.9,6.4,Q2,abril,2001,NE,2.80000000000007
12,2001150197,2.5,2001-04-16,43.371826,-8.025395,A Coruña,MONFERO,intencionado,0,0,2.12,2.12,6,1,NO INFO,Inferior a 80,12.9,0,9.4,16.4,4-6 m/s,11.9,6.4,Q2,abril,2001,NE,2.80000000000007
13,2001150207,1.4,2001-04-17,43.5844,-8.035015,A Coruña,SAN SADURNIÃâO,intencionado,0,0,2.25,2.25,6,1,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
14,2001150213,1.7,2001-04-17,43.291593,-8.495562,A Coruña,ARTEIXO,causa desconocida,0,0,3.2,3.2,9,1,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
15,2001150214,1.4,2001-04-17,43.30714,-8.463079,A Coruña,ARTEIXO,causa desconocida,0,0,2.05,2.05,16,2,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
16,2001150218,1.4,2001-04-17,42.773828,-8.900901,A Coruña,NOIA,negligencia,0,0,3.45,3.45,7,0,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
17,2001150227,1.5,2001-04-17,43.244306,-8.079977,A Coruña,ARANGA,intencionado,0,0,2.05,2.05,9,1,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
18,2001150228,5.0,2001-04-17,42.826981,-8.687411,A Coruña,BRIÃâN,intencionado,0,0,3.25,3.25,16,2,NO INFO,Inferior a 80,13.5,0,10.8,16.2,6-8 m/s,16.4,11.2,Q2,abril,2001,NE,2.79999999999995
19,2001150233,1.0,2001-04-18,42.908835,-8.589152,A Coruña,SANTIAGO DE COMPOSTELA,intencionado,0,0,2.14,2.14,11,2,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
20,2001150234,1.3,2001-04-18,43.057849,-8.094067,A Coruña,VILASANTAR,intencionado,0,0,1.5,1.5,5,1,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
21,2001150235,1.2,2001-04-18,42.788957,-8.519923,A Coruña,TEO,intencionado,0,0,1.0,1.0,8,1,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
22,2001150240,6.0,2001-04-18,42.803509,-8.409987,A Coruña,BOQUEIXÃâN-CASANOVA,intencionado,0,0,2.45,2.45,9,2,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
23,2001150246,2.0,2001-04-18,42.720584,-8.88716,A Coruña,BOIRO,intencionado,0,0,2.45,2.45,6,1,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
24,2001150247,1.0,2001-04-18,43.371826,-8.025395,A Coruña,MONFERO,intencionado,0,0,1.3,1.3,6,1,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
25,2001150250,1.0,2001-04-18,43.371826,-8.025395,A Coruña,MONFERO,intencionado,0,0,3.35,3.35,11,2,NO INFO,Inferior a 80,11.9,1,9.8,14.0,2-4 m/s,11.1,6.5,Q2,abril,2001,NE,2.0
26,2001150256,3.0,2001-04-19,42.803773,-8.381428,A Coruña,BOQUEIXÃâN-CASANOVA,negligencia,0,0,1.55,1.55,15,0,NO INFO,Inferior a 80,10.8,1,9.3,12.4,4-6 m/s,12.5,6.4,Q2,abril,2001,SW,2.29999999999995
27,2001150264,1.0,2001-04-19,42.673902,-8.91086,A Coruña,BOIRO,intencionado,0,0,2.2,2.2,6,1,NO INFO,Inferior a 80,10.8,1,9.3,12.4,4-6 m/s,12.5,6.4,Q2,abril,2001,SW,2.29999999999995
29,2001150267,1.2,2001-04-20,42.851086,-8.866091,A Coruña,OUTES,intencionado,0,0,1.4,1.4,16,2,NO INFO,Inferior a 80,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
30,2001150268,8.0,2001-04-20,43.363698,-8.292697,A Coruña,SADA,intencionado,0,0,2.45,2.45,14,3,NO INFO,Inferior a 80,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
31,2001150271,5.0,2001-04-20,42.854833,-8.567981,A Coruña,SANTIAGO DE COMPOSTELA,intencionado,0,0,1.5,1.5,28,4,NO INFO,Inferior a 80,10.2,1,7.8,12.6,2-4 m/s,13.1,8.4,Q2,abril,2001,N,5.29999999999995
32,2001150283,1.4,2001-04-21,42.903258,-8.81752,A Coruña,NEGREIRA,intencionado,0,0,2.2,2.2,5,1,NO INFO,Inferior a 80,10.9,1,7.8,14.0,< 2 m/s,10.0,3.1,Q2,abril,2001,N,5.5
33,2001150297,3.5,2001-05-08,42.765558,-8.647949,A Coruña,PADRÃâN,intencionado,0,0,2.3,2.3,12,2,NO INFO,Inferior a 80,13.7,0,10.0,17.4,4-6 m/s,13.6,11.8,Q2,mayo,2001,NE,6.20000000000005
